fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;distrito;circuito;subcircuito;codigo_provincia;provincia;codigo_canton;canton;dias_solucion;latitud_desaparicion;longitud_desaparicion;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;latitud_localizacion;longitud_localizacion;provincia_localizacion;situacion_actual;motivo_desaparicion;motivacion_desaparicion_observada;estado_desaparecido
28/9/2025;30/9/2025;30/9/2025;ZONA 9;LOS CHILLOS;CONOCOTO NORTE;CONOCOTO NORTE 4;17;PICHINCHA;1701;QUITO;172800;-0,278211;-78,473503;HOMBRE;ECUADOR;15;ADOLESCENTES;MESTIZO/A;30/9/2025;-0,30505;-78,553823;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
28/9/2025;30/9/2025;30/9/2025;ZONA 9;EUGENIO ESPEJO;EL BOSQUE;EL BOSQUE 4;17;PICHINCHA;1701;QUITO;259200;-0,18071;-78,491141;HOMBRE;ECUADOR;50;ADULTO;MESTIZO/A;1/10/2025;-0,289126;-78,453851;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
28/9/2025;29/9/2025;2/10/2025;ZONA 9;MANUELA SÁENZ;CENTRO HISTÓRICO;CENTRO HISTÓRICO 4;17;PICHINCHA;1701;QUITO;345600;-0,221787;-78,505811;MUJER;ECUADOR;18;ADULTO;MESTIZO/A;2/10/2025;-0,142141;-78,499883;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/9/2025;27/9/2025;27/9/2025;ZONA 9;QUITUMBE;ECUATORIANA;ECUATORIANA 4;17;PICHINCHA;1701;QUITO;86400;-0,338711;-78,607761;MUJER;ECUADOR;14;ADOLESCENTES;MESTIZO/A;28/9/2025;-0,211599;-78,521633;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/9/2025;28/9/2025;28/9/2025;ZONA 9;EUGENIO ESPEJO;COCHAPAMBA;COCHAPAMBA 4;17;PICHINCHA;1701;QUITO;172800;-0,128703;-78,516771;HOMBRE;ECUADOR;86;ADULTO MAYOR;MESTIZO/A;29/9/2025;-0,142139;-78,503147;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/9/2025;28/9/2025;28/9/2025;ZONA 9;QUITUMBE;ECUATORIANA;ECUATORIANA 4;17;PICHINCHA;1701;QUITO;86400;-0,308986;-78,567998;HOMBRE;ECUADOR;26;ADULTO;MESTIZO/A;28/9/2025;-0,233398;-78,532056;PICHINCHA;ENCONTRADO;CAUSAS SOCIALES;GRUPOS DELICTIVOS ORGANIZADOS/GDOS/PANDILLAS/MAFIAS/CARTELES;DESAPARICIÓN INVOLUNTARIA
27/9/2025;28/9/2025;28/9/2025;ZONA 9;ELOY ALFARO - DMQ;ARGELIA;ARGELIA 2;17;PICHINCHA;1701;QUITO;172800;-0,27192;-78,528742;MUJER;ECUADOR;19;ADULTO;MESTIZO/A;29/9/2025;-1,253;-78,634198;TUNGURAHUA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/9/2025;28/9/2025;28/9/2025;ZONA 9;ELOY ALFARO - DMQ;MENA;MENA 1;17;PICHINCHA;1701;QUITO;345600;-0,259905;-78,547029;MUJER;ECUADOR;25;ADULTO;MESTIZO/A;1/10/2025;-0,375405;-78,614603;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/9/2025;30/9/2025;2/10/2025;ZONA 9;MANUELA SÁENZ;EL PLACER;EL PLACER 3;17;PICHINCHA;1701;QUITO;604800;-0,213327;-78,520085;MUJER;ECUADOR;16;ADOLESCENTES;MESTIZO/A;4/10/2025;-0,20968;-78,479687;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
26/9/2025;27/9/2025;27/9/2025;ZONA 9;MANUELA SÁENZ;LA LIBERTAD;LA LIBERTAD 1;17;PICHINCHA;1701;QUITO;86400;-0,227585;-78,523326;HOMBRE;ECUADOR;16;ADOLESCENTES;MESTIZO/A;27/9/2025;-0,142429;-78,500307;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
26/9/2025;26/9/2025;26/9/2025;ZONA 9;LA DELICIA;MENA DEL HIERRO;MENA DEL HIERRO 1;17;PICHINCHA;1701;QUITO;86400;-0,105808;-78,504546;MUJER;ECUADOR;84;ADULTO MAYOR;MESTIZO/A;27/9/2025;-0,269185;-78,540337;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
25/9/2025;26/9/2025;26/9/2025;ZONA 9;EUGENIO ESPEJO;SAN ISIDRO DEL INCA;SAN ISIDRO DEL INCA 1;17;PICHINCHA;1701;QUITO;1382400;-0,129461;-78,461983;MUJER;ECUADOR;16;ADOLESCENTES;INDIGENA;11/10/2025;-0,142107;-78,499135;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
